Lasso Coefficients,features
0.4055923866,GrLivArea
0.0933764912,Neighborhood_StoneBr
0.0905218853,Neighborhood_NoRidge
0.087654207,Neighborhood_Crawfor
0.0745330809,Functional_Typ
0.0726319161,KitchenQual_Ex
0.0714978728,LotArea
0.0710421785,Neighborhood_Somerst
0.0672743941,Exterior1st_BrkFace
0.0621125786,1stFlrSF
0.0589393449,RoofMatl_WdShngl
0.0516498695,Neighborhood_NridgHt
0.0501826635,BsmtQual_Ex
0.0485030614,OverallQual
0.0484842335,Condition1_Norm
0.0466269298,BsmtExposure_Gd
0.0446341224,OverallCond
0.0436314952,Neighborhood_ClearCr
0.0370304136,GarageCars
0.033770356,SaleCondition_Partial
0.0324201388,Heating_GasW
0.0318684323,Neighborhood_BrkSide
0.0314055727,BsmtFullBath
0.0311333586,Foundation_Stone
0.0275589889,LotConfig_CulDSac
0.0262943911,SaleType_ConLD
0.0243713401,FullBath
0.0235380497,ExterCond_TA
0.0226556427,HeatingQC_Ex
0.0206154094,GarageType_BuiltIn
0.02030466,Fireplaces
0.0200152368,Exterior2nd_Wd Sdng
0.0193924981,TotalBsmtSF
0.0191919807,BldgType_1Fam
0.0189909373,GarageType_Detchd
0.0171289407,HalfBath
0.0138531758,LotConfig_Corner
0.0131618161,GarageType_Attchd
0.0126274053,Exterior1st_MetalSd
0.0109728913,Foundation_PConc
0.0102070322,ScreenPorch
0.0093776347,LotShape_Reg
0.0092315018,PoolArea
0.0092122129,PavedDrive_Y
0.0087821971,BsmtFinSF1
0.0082035553,LandSlope_Mod
0.0080214483,FireplaceQu_Gd
0.0066300841,Fence_MnPrv
0.0057611006,Functional_Min2
0.0057146044,Exterior2nd_VinylSd
0.0049606479,TotRmsAbvGrd
0.0039476673,WoodDeckSF
0.002535452,EnclosedPorch
0.0021049768,FireplaceQu_Ex
0.0016918945,GarageQual_Gd
0.0016355141,YearBuilt
0.0006763511,OpenPorchSF
0.000588511,YearRemodAdd
0.0002157801,GarageYrBlt
9.76782563753e-05,Exterior2nd_MetalSd
5.15148787071e-05,GarageArea
0,BsmtFinType2_GLQ
-0,BsmtCond_TA
-0,BsmtCond_Po
-0,BsmtExposure_Av
0,Heating_Floor
0,BsmtFinType2_LwQ
0,BsmtExposure_Mn
-0,BsmtFinType2_Unf
-0,BsmtFinType2_Rec
0,BsmtFinType1_ALQ
0,BsmtFinType1_GLQ
0,BsmtCond_Gd
-0,BsmtFinType1_Rec
0,BsmtFinType1_Unf
0,BsmtFinType2_ALQ
-0,SaleType_ConLI
-0,Foundation_CBlock
-0,BsmtCond_Fa
-0,BsmtQual_Gd
0,Exterior2nd_ImStucc
-0,Exterior2nd_Other
-0,Exterior2nd_Stone
-0,Exterior2nd_Stucco
-0,Exterior2nd_Wd Shng
-0,MasVnrType_BrkCmn
0,MasVnrType_BrkFace
0,MasVnrType_None
0,MasVnrType_Stone
0,ExterQual_Ex
0,ExterQual_Fa
0,ExterQual_Gd
0,ExterCond_Ex
-0,ExterCond_Gd
-0,ExterCond_Po
0,Foundation_Slab
-0,Foundation_Wood
0,SaleCondition_Normal
-0,BsmtQual_Fa
0,Heating_GasA
0,KitchenQual_Fa
-0,Heating_OthW
0,PoolQC_Ex
-0,GarageFinish_Unf
0,GarageQual_Ex
-0,GarageQual_Po
-0,GarageQual_TA
0,GarageCond_Ex
0,GarageCond_Gd
-0,GarageCond_Po
0,GarageCond_TA
-0,PavedDrive_N
-0,PavedDrive_P
-0,PoolQC_Fa
0,GarageFinish_Fin
-0,PoolQC_Gd
0,Fence_GdPrv
-0,Fence_MnWw
0,MiscFeature_Gar2
-0,MiscFeature_Othr
0,MiscFeature_Shed
0,MiscFeature_TenC
-0,SaleType_COD
0,SaleType_CWD
0,SaleType_Con
-0,GarageFinish_RFn
-0,GarageType_CarPort
-0,Heating_Wall
0,SaleCondition_AdjLand
-0,HeatingQC_Fa
0,HeatingQC_Gd
-0,HeatingQC_Po
0,CentralAir_Y
-0,Electrical_FuseA
0,Electrical_FuseF
-0,Electrical_FuseP
0,SaleCondition_Alloca
-0,Electrical_Mix
-0,Electrical_SBrkr
0,SaleType_Oth
-0,GarageType_Basment
-0,KitchenQual_Gd
0,Functional_Min1
-0,Functional_Mod
0,SaleType_New
-0,Functional_Sev
-0,Exterior2nd_CmentBd
-0,FireplaceQu_Po
0,FireplaceQu_TA
-0,GarageType_2Types
-0,SaleType_ConLw
0,Exterior2nd_HdBoard
0,Exterior1st_VinylSd
0,Exterior2nd_CBlock
0,Condition1_RRAn
-0,Neighborhood_IDOTRR
0,Neighborhood_NPkVill
0,Neighborhood_SWISU
-0,Neighborhood_Sawyer
0,Neighborhood_SawyerW
0,Neighborhood_Veenker
0,Condition1_Feedr
-0,Condition1_PosA
-0,Exterior2nd_BrkFace
-0,Condition1_RRNe
0,Neighborhood_CollgCr
0,Condition1_RRNn
-0,Condition2_Artery
0,Condition2_Feedr
-0,Condition2_Norm
0,Condition2_PosA
-0,Condition2_PosN
-0,Condition2_RRAe
-0,Condition2_RRAn
0,Condition2_RRNn
-0,Neighborhood_Gilbert
0,Neighborhood_BrDale
-0,BldgType_Twnhs
0,LotShape_IR2
0,BsmtHalfBath
0,3SsnPorch
0,MSZoning_FV
0,MSZoning_RH
0,MSZoning_RL
-0,Street_Grvl
0,Street_Pave
0,Alley_Pave
-0,LotShape_IR1
0,LandContour_HLS
0,Neighborhood_Blueste
0,LandContour_Low
-0,LandContour_Lvl
0,Utilities_AllPub
-0,Utilities_NoSeWa
-0,LotConfig_FR3
-0,LotConfig_Inside
-0,LandSlope_Gtl
-0,LandSlope_Sev
0,Neighborhood_Blmngtn
-0,BldgType_2fmCon
0,Condition1_PosN
0,RoofMatl_Tar&Grv
0,RoofStyle_Hip
0,Exterior2nd_AsphShn
-0,Exterior1st_Plywood
-0,RoofMatl_CompShg
0,RoofMatl_Membran
0,RoofMatl_Metal
-0,Exterior2nd_AsbShng
0,RoofMatl_Roll
0,Exterior1st_WdShing
0,BldgType_TwnhsE
-0,RoofMatl_WdShake
-0,Exterior1st_AsbShng
-0,Exterior1st_AsphShn
0,LotFrontage
-0,Exterior1st_BrkComm
0,Exterior1st_CBlock
-0,Exterior1st_CemntBd
-0,Exterior1st_Stucco
0,Exterior1st_HdBoard
-0,Exterior1st_ImStucc
0,RoofStyle_Mansard
0,RoofStyle_Shed
-0,Exterior1st_Stone
-0,HouseStyle_1.5Fin
-0,RoofStyle_Gambrel
-0,RoofStyle_Gable
0,HouseStyle_2.5Fin
-0,HouseStyle_2.5Unf
-0,Exterior2nd_Brk Cmn
0,HouseStyle_SFoyer
-0,HouseStyle_SLvl
0,HouseStyle_1.5Unf
0,HouseStyle_1Story
0,RoofStyle_Flat
-1.47496502524e-05,MasVnrArea
-0.0006835509,LowQualFinSF
-0.0008062376,Functional_Maj1
-0.0013804866,ExterCond_Fa
-0.0014720987,BsmtFinType1_BLQ
-0.0017800153,MoSold
-0.0018957336,BsmtFinSF2
-0.002047761,MiscVal
-0.0022065114,2ndFlrSF
-0.0022463328,Neighborhood_MeadowV
-0.0024073478,BsmtUnfSF
-0.0025269775,Neighborhood_NAmes
-0.0026466171,Alley_Grvl
-0.0032469206,FireplaceQu_Fa
-0.003376875,HouseStyle_2Story
-0.003900623,YrSold
-0.005626412,Exterior2nd_Plywood
-0.0067690094,HeatingQC_TA
-0.007169771,Condition1_Artery
-0.0083565492,ExterQual_TA
-0.0087973376,Neighborhood_Timber
-0.0095403037,BsmtQual_TA
-0.0101696273,KitchenQual_TA
-0.0113615174,MSSubClass
-0.0121441402,LandContour_Bnk
-0.0125643372,Neighborhood_NWAmes
-0.0126938841,BsmtFinType2_BLQ
-0.0129138152,GarageQual_Fa
-0.0129326904,BsmtExposure_No
-0.0129731285,LotShape_IR3
-0.0134959865,BsmtFinType1_LwQ
-0.0144201901,BedroomAbvGr
-0.0149306041,SaleType_WD
-0.0154879661,Neighborhood_OldTown
-0.018196541,LotConfig_FR2
-0.0216981483,Fence_GdWo
-0.0269564201,GarageCond_Fa
-0.0274935185,SaleCondition_Family
-0.0277406205,BldgType_Duplex
-0.0279527924,KitchenAbvGr
-0.0281555792,Exterior1st_Wd Sdng
-0.0291398344,Neighborhood_Mitchel
-0.0299841061,MSZoning_RM
-0.0321469265,Foundation_BrkTil
-0.0346250362,CentralAir_N
-0.0366095839,Condition1_RRAe
-0.0411666007,Neighborhood_Edwards
-0.0592700953,Heating_Grav
-0.0652125949,SaleCondition_Abnorml
-0.08704682,Functional_Maj2
-0.3312318816,MSZoning_C (all)
-1.1150375606,RoofMatl_ClyTile
